id,title,price,currency,price_period,price_type,price_raw_value,property_type,location,latitude,longitude,images,share_url,bedrooms,bathrooms,size,amenities,category,page,scraped_at_utc,record_type
8708786,"Full sea view(135m) stunning view, luxury finish",910000.0,EGP,sell,sale_price,910000,Chalet,"La Vista 6, La Vista, Al Ain Al Sokhna, Suez",29.3828182220459,32.55379867553711,"['https://static.shared.propertyfinder.eg/media/images/listing/FM30D272PC7GC8FSR7T5T1G7VM/b8f41bc5-653c-4258-80cc-45106c43e9b0/416x272.jpg', 'https://static.shared.propertyfinder.eg/media/images/listing/FM30D272PC7GC8FSR7T5T1G7VM/b8f41bc5-653c-4258-80cc-45106c43e9b0/668x452.jpg']",https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-suez-al-ain-al-sokhna-la-vista-la-vista-6-8708786.html,3.0,3.0,20,"['BA', 'BW', 'AC', 'CP', 'BK', 'MR', 'ST', 'VW', 'SE', 'SY', 'WC', 'SP', 'BL', 'LB', 'CO', 'SS']",buy,2,2026-02-19T14:59:15.350855+00:00,property
8713345,"No down 135sqm apt, full sea view, hot price",800000.0,EGP,sell,sale_price,800000,Apartment,"IL Bosco, New Capital Compounds, New Capital City, Cairo",29.974742889404297,31.7275505065918,"['https://static.shared.propertyfinder.eg/media/images/listing/6YEXM9ZT34JNAQ0SFT1R2K3MV0/07ae2753-9140-4c8c-b629-225c9ae06aea/416x272.jpg', 'https://static.shared.propertyfinder.eg/media/images/listing/6YEXM9ZT34JNAQ0SFT1R2K3MV0/07ae2753-9140-4c8c-b629-225c9ae06aea/668x452.jpg']",https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-il-bosco-8713345.html,2.0,2.0,20,"['BA', 'BW', 'AC', 'CP', 'BK', 'SP', 'ST', 'SE', 'SS', 'VW', 'WC', 'BL', 'LB', 'CO', 'SY']",buy,2,2026-02-19T14:59:15.350855+00:00,property
8713752,villa RTM SPECIAL offer amazing view+location+5y,5200000.0,EGP,sell,sale_price,5200000,Villa,"La Vista City, New Capital Compounds, New Capital City, Cairo",30.002904891967773,31.595441818237305,"['https://static.shared.propertyfinder.eg/media/images/listing/NWZYTADYSBN4VVST95KX4X3F2R/c2908fe3-2da7-42d0-94d7-2d89c94eb16b/416x272.jpg', 'https://static.shared.propertyfinder.eg/media/images/listing/NWZYTADYSBN4VVST95KX4X3F2R/c2908fe3-2da7-42d0-94d7-2d89c94eb16b/668x452.jpg']",https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-8713752.html,4.0,5.0,50,"['BA', 'SP']",buy,2,2026-02-19T14:59:15.350855+00:00,property
8624016,"fully finished facing north, ready to move install",4800000.0,EGP,sell,sale_price,4800000,Apartment,"Latin District, New Alamein City, Al Alamein, North Coast",30.8568115234375,28.90464973449707,"['https://static.shared.propertyfinder.eg/media/images/listing/FJ26VPWKM7A475Z94F9T4Q2FF0/d42ba114-2e28-4815-9314-da42c5f84db9/416x272.jpg', 'https://static.shared.propertyfinder.eg/media/images/listing/FJ26VPWKM7A475Z94F9T4Q2FF0/d42ba114-2e28-4815-9314-da42c5f84db9/668x452.jpg']",https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-north-coast-al-alamein-latin-district-8624016.html,2.0,2.0,124,"['BA', 'CP', 'ST', 'SP', 'VW', 'SS', 'SE', 'SY', 'WC', 'BL']",buy,2,2026-02-19T14:59:15.350855+00:00,property
8623985,"Ready to move 135 Sqm ( 1,150,000 down payment )",1150000.0,EGP,sell,sale_price,1150000,Apartment,"Stoda, Sheraton Al Matar, El Nozha, Cairo",30.088808059692383,31.3783016204834,"['https://static.shared.propertyfinder.eg/media/images/listing/A8HMP78QFTXSQ9ZP9XCM2NAE6W/19ef10de-1828-40b3-9708-dfe710169c18/416x272.jpg', 'https://static.shared.propertyfinder.eg/media/images/listing/A8HMP78QFTXSQ9ZP9XCM2NAE6W/19ef10de-1828-40b3-9708-dfe710169c18/668x452.jpg']",https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-el-nozha-sheraton-al-matar-stoda-8623985.html,2.0,2.0,25,"['BA', 'CP', 'SP', 'ST', 'VW', 'SE', 'SS', 'SY', 'WC', 'BL']",buy,2,2026-02-19T14:59:15.350855+00:00,property
52968759,Lowest Down Payment For 3 bed Apartment At Alaire.,5050000.0,EGP,sell,sale_price,5050000,Apartment,"Alaire, The City of Odyssia, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",30.0498046875,31.63866806030273,"['https://static.shared.propertyfinder.eg/media/images/listing/FTRD8H8KM35ZK5TYYBBFF8P1B4/ac2c58e1-c3c2-47ca-aea4-94d1a053e04e/416x272.jpg', 'https://static.shared.propertyfinder.eg/media/images/listing/FTRD8H8KM35ZK5TYYBBFF8P1B4/ac2c58e1-c3c2-47ca-aea4-94d1a053e04e/668x452.jpg']",https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-mostakbal-city-future-city-mostakbal-city-compounds-the-city-of-odyssia-alaire-2PXsLdIwmdU.html,3.0,3.0,184,"['BA', 'SE']",buy,2,2026-02-19T14:59:15.350855+00:00,property
8520634,Apartment for sale - TURNKEY AIRBNB – HELIOPOLIS,5700000.0,EGP,sell,sale_price,5700000,Apartment,"Heliopolis Square, Heliopolis Square, El Nozha, Cairo",30.10805892944336,31.33824920654297,"['https://static.shared.propertyfinder.eg/media/images/listing/SYRZ8HKYNPMGCEDYWZBMJYXNN4/14b72d04-cd2a-4ee6-9b4c-de7475a3c573/416x272.jpg', 'https://static.shared.propertyfinder.eg/media/images/listing/SYRZ8HKYNPMGCEDYWZBMJYXNN4/14b72d04-cd2a-4ee6-9b4c-de7475a3c573/668x452.jpg']",https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-el-nozha-heliopolis-square-heliopolis-square-8520634.html,2.0,1.0,140,['BA'],buy,2,2026-02-19T14:59:15.350855+00:00,property
52968537,Below Market Price – Sea View Twin House  in Gaia,18852970.0,EGP,sell,sale_price,18852970,Twin House,"Gaia, Ras Al Hekma, North Coast",31.04988670349121,28.04056739807129,"['https://static.shared.propertyfinder.eg/media/images/listing/XRXA1C1XZ35QEE6KC47A2T15W8/de3c7804-2bdc-499f-a31e-afab78cfd408/416x272.jpg', 'https://static.shared.propertyfinder.eg/media/images/listing/XRXA1C1XZ35QEE6KC47A2T15W8/de3c7804-2bdc-499f-a31e-afab78cfd408/668x452.jpg']",https://www.propertyfinder.eg/en/plp/buy/twin-house-for-sale-north-coast-ras-al-hekma-gaia-2PXq8HRBT5U.html,4.0,3.0,245,"['BA', 'MR', 'PG', 'SP', 'VW', 'SE', 'CO']",buy,2,2026-02-19T14:59:15.350855+00:00,property
52968531,apartment 4 bedrooms ready to move at the square.,7700000.0,EGP,sell,sale_price,7700000,Apartment,"The Square, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",30.000179290771484,31.552690505981445,"['https://static.shared.propertyfinder.eg/media/images/listing/7WD751XTRYRT24XW0MYZ4DXM4R/45c6145e-5e97-4b2f-994c-b871aa449965/416x272.jpg', 'https://static.shared.propertyfinder.eg/media/images/listing/7WD751XTRYRT24XW0MYZ4DXM4R/45c6145e-5e97-4b2f-994c-b871aa449965/668x452.jpg']",https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-the-square-2PXq2OHN1bk.html,4.0,3.0,210,"['BA', 'SE']",buy,2,2026-02-19T14:59:15.350855+00:00,property
52968529,penthouse sea view with lowest price,7300000.0,EGP,sell,sale_price,7300000,Penthouse,"Amwaj, Sidi Abdel Rahman, North Coast",30.996368408203125,28.680442810058597,"['https://static.shared.propertyfinder.eg/media/images/listing/R59GVR78HPCTY538TCP5TY7K8R/d725a112-67f7-47b6-8045-b27a3ddbcf6d/416x272.jpg', 'https://static.shared.propertyfinder.eg/media/images/listing/R59GVR78HPCTY538TCP5TY7K8R/d725a112-67f7-47b6-8045-b27a3ddbcf6d/668x452.jpg']",https://www.propertyfinder.eg/en/plp/buy/penthouse-for-sale-north-coast-sidi-abdel-rahman-amwaj-2PXq0cXzG1Q.html,2.0,2.0,117,"['BA', 'VW', 'CO']",buy,2,2026-02-19T14:59:15.350855+00:00,property
